categoria,modelo_seleccionado,metodo,rmse,rmse_std,estabilidad,cv_coef,mejora_vs_baseline,horizonte_planificacion,nivel_confianza,justificacion
bed_bath_table,GP Puro,Hold-out (75/12),40.16377756566559,,N/A (Hold-out),,26.256369742308156,MEDIANO PLAZO (1-3 meses),MEDIO,Categoría estable con tendencia y estacionalidad claras. GP captura patrones de largo plazo eficientemente. Mejora vs baseline: 26.3%. RMSE=40.16.
health_beauty,LightGBM Puro,CV (5 folds),39.56221807799288,9.471585812825325,MODERADA,23.940987823668173,16.726398748566023,MEDIANO PLAZO (1-3 meses),MEDIO,Patrones complejos de corto plazo detectados. LGBM con features de lags y rolling captura dinámica temporal. Mejora vs baseline: 16.7%. RMSE=39.56.
sports_leisure,Media Móvil,CV (5 folds),36.63287361288008,11.437660200528564,INESTABLE,31.2223941845149,0.0,MEDIANO PLAZO (1-3 meses),MEDIO,Categoría extremadamente volátil sin estructura predecible. Modelos complejos sobreajustan. Parsimonia (Occam's Razor) recomienda baseline simple. RMSE=36.63.
furniture_decor,GP Puro,Hold-out (75/12),36.42447182379942,,N/A (Hold-out),,32.36267635624663,MEDIANO PLAZO (1-3 meses),MEDIO,Categoría estable con tendencia y estacionalidad claras. GP captura patrones de largo plazo eficientemente. Mejora vs baseline: 32.4%. RMSE=36.42.
computers_accessories,Media Móvil,CV (5 folds),46.01504654319086,11.914227837393058,MODERADA,25.892026048936124,0.0,CORTO PLAZO (<1 mes),BAJO,Categoría extremadamente volátil sin estructura predecible. Modelos complejos sobreajustan. Parsimonia (Occam's Razor) recomienda baseline simple. RMSE=46.02.
housewares,LightGBM Puro,CV (5 folds),26.334907643149496,7.645194725255164,MODERADA,29.030649466674358,17.572811091520304,LARGO PLAZO (3+ meses),ALTO,Patrones complejos de corto plazo detectados. LGBM con features de lags y rolling captura dinámica temporal. Mejora vs baseline: 17.6%. RMSE=26.33.
